crater-invoice-inc/crater | ★8342 | upd:2024-08-10 | lic:AGPL-3.0 | Open Source Invoicing Solution for Individuals & Businesses
crater-invoice-inc/crater-mobile | ★358 | upd:2023-03-04 | lic:AGPL-3.0 | Crater Invoice Mobile to manage your invoices on the go. 
FirstReef/CraterRecurring | ★4 | upd:2021-01-09 | lic:none | A package for Crater Invoicing
jee-r/docker-crater | ★2 | upd:2024-06-21 | lic:GPL-3.0 | Docker image for craterapp.com
ShyNightOwl/Crater-Invoice-PDF-Template-Design | ★2 | upd:2023-02-06 | lic:none | Crater Invoice PDF Template Design
albeanski/crater-invoice-backup-and-restore | ★2 | upd:2022-09-13 | lic:none | Instructions for backing up and restoring Crater Invoice using docker
varomanyshak/crater-invoice-management-system | ★1 | upd:2025-05-04 | lic:AGPL-3.0 | 
arif04cuet/invoice-app | ★1 | upd:2023-05-02 | lic:NOASSERTION | Multi tenant Invoice app. It's based on Crater is an open-source web & mobile app that helps you track expenses, payments & create professional invoices & estimates. I made it multi tenancy to used as a SaaS product.
nhuttranm/invoices | ★0 | upd:2026-08-10 | lic:NOASSERTION | This is Crater project that is an open-source web & mobile app that helps you track expenses, payments & create professional invoices & estimates.
anass1090/invoice | ★0 | upd:2025-02-05 | lic:AGPL-3.0 | invoiceshelf a crater fork.
ishaniDolawatta/crater | ★0 | upd:2021-10-25 | lic:NOASSERTION | invoice app
arielajv/CraterInvoice | ★0 | upd:2023-10-07 | lic:none | 
AvivoB/crater-invoice | ★0 | upd:2022-08-23 | lic:none | Crater Module STRIPE
AfnanIbraheem08/CraterInvoiceFramework | ★0 | upd:2023-02-01 | lic:none | 
hayderh11/CraterInvoiceProject | ★0 | upd:2023-05-10 | lic:none | 
