InvoicePlane/InvoicePlane | ★3129 | upd:2026-09-01 | lic:NOASSERTION | A self-hosted open source application for managing your invoices, clients and payments.
Django-CRM/Django-CRM | ★2401 | upd:2026-08-17 | lic:MIT | Open Source CRM for Startups and enterprises. Django + SvelteKit · Self-hosted · Multi-tenant · Free forever
ArnasDon/wacrm | ★2183 | upd:2026-08-31 | lic:MIT | Self-hostable CRM template for WhatsApp — shared inbox, contacts, sales pipelines, broadcasts, and no-code automations. Fork it, brand it, host it.
relaticle/relaticle | ★1578 | upd:2026-09-01 | lic:AGPL-3.0 | Open-source CRM with native AI agent support. 37 MCP tools, REST API, self-hosted. Built with Laravel & Filament
melgarafael/DeskcommCRM | ★760 | upd:2026-08-31 | lic:MIT | Open-source AI sales OS — self-hosted CRM with native AI agents + WhatsApp (WAHA). Open alternative to Kommo, Octadesk & Intercom for any business that sells by chat. MCP-ready, multi-tenant, LGPD.
Shudesu/line-harness-oss | ★580 | upd:2026-08-27 | lic:MIT | L Harness — open-source CRM for LINE Official Accounts. Self-hosted step delivery, broadcasts, forms, rich menus, scoring, automation, and more.
lsfusion-solutions/mycompany | ★322 | upd:2026-08-19 | lic:Apache-2.0 | Free, open-source, self-hosted ERP and CRM for small businesses: inventory, invoicing, manufacturing, sales, projects, HR and POS. Built on lsFusion.
Othmane-Khadri/YALC-the-GTM-operating-system | ★296 | upd:2026-08-20 | lic:MIT | YALC 1.0, the open-source Clay alternative. MIT, CLI-first, self-hosted, runs in Claude Code. Yalc today is an intelligent orchestration layer that runs pre configured GTM agents on your existing tech stack (CRM, sequencer and call recorder) → yalc.ai
evolution-foundation/evo-crm-community | ★270 | upd:2026-08-29 | lic:NOASSERTION | Open source and self-hosted AI-powered customer service platform. Single-tenant, no multi-account, no per-user charges — you run the complete stack on your server.
gorkem-bwl/atlas | ★176 | upd:2026-08-28 | lic:AGPL-3.0 | Self-hosted business platform with CRM, HRM, invoices, projects, e-signatures, calendar, drive, docs, drawing, and tasks. Multi-tenant, 5 languages, with an Odoo importer to bring your data across. Alternative to Zoho and Odoo.
kevinrivm/vocero-crm | ★155 | upd:2026-08-29 | lic:MIT | CRM de WhatsApp open source y self-hosted con agente de IA y Laboratorio de auto-evaluacion
DominateAi/Dominate-AI | ★129 | upd:2026-02-24 | lic:GPL-3.0 | Open-source CRM built for high-ticket B2B sales teams. Lead    management, deal pipelines, automated follow-ups, and   account relationship tracking — fully self-hostable with   React, Node.js, MongoDB, and Docker.
sneg55/pingcrm | ★119 | upd:2026-08-19 | lic:AGPL-3.0 | Personal Networking CRM — AI-powered, open-source, self-hostable. Syncs Gmail, Telegram, Twitter/X, and LinkedIn. Detects life events, drafts follow-ups, scores relationships.
tabbled/tabbled | ★116 | upd:2025-07-25 | lic:NOASSERTION | Self-hosted low-code platform for business applications like CRM, ERP, WMS, etc. Built using JavaScript/TypeScript. 🚀
Shudesu/x-harness-oss | ★91 | upd:2026-08-20 | lic:MIT | Open-source X (Twitter) marketing automation — the self-hosted alternative to XTEP
