windmill-labs/windmill | ★17748 | upd:2026-09-01 | lic:NOASSERTION | Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.
halecraft/windmill-cloudron | ★2 | upd:2026-06-08 | lic:MIT | Windmill workflow orchestration on Cloudron
ziggyds/windmill-unraid | ★2 | upd:2023-08-09 | lic:none | Docker compose + actions workflow to spin up windmill on unraid using a selfhosted runner
alephdao/windmill-meeting-transcripts | ★1 | upd:2025-05-28 | lic:none | Windmill workflow that extracts action items from meeting transcripts using AI, creates Asana tasks, and sends Slack notifications via Telegram bot
TheCodeBe/multi-llm-windmill-system | ★1 | upd:2025-07-09 | lic:none | Windmill-based system using a committee of LLMs (Claude, GPT-4, Gemini) to propose, debate, vote, and install new workflows
shamanic-technologies/workflow-service | ★0 | upd:2026-08-26 | lic:none | Open Source Windmill Service
wolff453/windmill-workflows | ★0 | upd:2025-06-09 | lic:none | 
anand870/windmill_workflow | ★0 | upd:2026-06-20 | lic:none | 
kumagron/windmill-workflows | ★0 | upd:2026-03-05 | lic:none | 
vocapouch/windmill | ★0 | upd:2026-05-03 | lic:none | Windmill workflow definitions for Vocapouch
abdulmajeed33/windmill-workflow-editor | ★0 | upd:2026-03-02 | lic:none | 
saicharan-6a/windmill-workflows-apps | ★0 | upd:2026-03-24 | lic:none | 
port-labs/trigger-windmill-workflow | ★0 | upd:2024-05-21 | lic:none | Trigger windmill workflow from Port using self-service actions and Kafka
devorb1t/windmill | ★0 | upd:2026-08-05 | lic:NOASSERTION | Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.
kma-core/windmill | ★0 | upd:2026-07-21 | lic:NOASSERTION | Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.
