mattermost-community/focalboard | ★26441 | upd:2026-05-18 | lic:NOASSERTION | Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.
mattermost/mattermost-plugin-boards | ★141 | upd:2026-08-27 | lic:NOASSERTION | Mattermost plugin for Boards. This will host plugin only and is independent of Focalboard.
nicoulaj/focalboard-docker | ★30 | upd:2023-02-06 | lic:none | Cross platform Docker images for Focalboard.
YunoHost-Apps/focalboard_ynh | ★7 | upd:2026-07-25 | lic:GPL-3.0 | Focalboard package for YunoHost
starters-dev/focalboard | ★7 | upd:2022-01-26 | lic:none | Focalboard (Mattermost Boards). Self-Hosted. Docker + Traefik + HTTPS.
crra/focalboard-native-docker | ★7 | upd:2021-04-22 | lic:AGPL-3.0 | Mattermost's focalboard in a (native) docker container (including raspberry pi, ARM)
NavyStack/focalboard-ns | ★6 | upd:2026-08-19 | lic:NOASSERTION | Focalboard Arm64 Amd64 멀티 아키텍처 + 한국어
gmjuhasz/focalboard-mcp-server | ★4 | upd:2025-11-03 | lic:none | MCP server for Focalboard task management
jimmymasaru/focalboard-docker-arm | ★4 | upd:2022-11-04 | lic:MIT | Focalboard docker image repository for Raspberry Pi (arm/v7) with GitHub workflow actions
MichalKarol/pyfocalboard | ★4 | upd:2024-11-13 | lic:MIT | Python bindings for Focalboard HTTP API
comexpert-mic/project-management-focalboard | ★3 | upd:2026-06-08 | lic:NOASSERTION | 
5FeetUnder/focalboard-arm64-docker | ★2 | upd:2024-10-14 | lic:none | 
st-dav/psychic-rotary-phone | ★2 | upd:2021-04-05 | lic:Unlicense | Production ready docker files for focalboard. 
wiggin77/fbsc | ★2 | upd:2023-04-21 | lic:MIT | Focalboard Simple Client Simulator
jespino/mattermost-plugin-focalboard | ★2 | upd:2021-03-31 | lic:Apache-2.0 | 
