chatwoot/chatwoot | ★36354 | upd:2026-09-01 | lic:NOASSERTION | Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬
evolution-foundation/evolution-api | ★9506 | upd:2026-07-14 | lic:NOASSERTION | Evolution API is an open-source WhatsApp integration API
aldinokemal/go-whatsapp-web-multidevice | ★4707 | upd:2026-08-31 | lic:MIT | GOWA - WhatsApp REST API with support for UI, Multi Account, Webhooks, and MCP, and Chatwoot. Built with Golang for efficient memory use. 
abhinavxd/libredesk | ★2868 | upd:2026-08-30 | lic:AGPL-3.0 | Open-source, self-hosted customer support desk in a single binary. A lightweight alternative to Intercom, Zendesk, Chatwoot.
chatwoot/chatwoot-mobile-app | ★1033 | upd:2026-09-01 | lic:MIT | Mobile app for Chatwoot - React Native
calibreapp/react-live-chat-loader | ★551 | upd:2026-05-09 | lic:MIT | Implement a live chat beacon in your React application without performance regressions.
evolution-foundation/evo-crm-community | ★270 | upd:2026-08-29 | lic:NOASSERTION | Open source and self-hosted AI-powered customer service platform. Single-tenant, no multi-account, no per-user charges — you run the complete stack on your server.
rodtanci/Disparador-de-Campanha-Chatwoot-Evolution | ★134 | upd:2025-06-04 | lic:none | Disparando campanhas direto do ChatWoot com N8N + Evolution API
diendh/zca-bridge | ★119 | upd:2026-06-19 | lic:Apache-2.0 | Self-hosted Zalo ↔ Chatwoot bridge for Vietnamese customer support teams
devlikeapro/n8n-nodes-chatwoot | ★99 | upd:2025-12-15 | lic:MIT | n8n node for ChatWoot API
chatwoot/docs | ★89 | upd:2026-08-13 | lic:MIT | Official docs, handbook for Chatwoot
douglara/chatwoot-botpress-bridge | ★87 | upd:2025-12-19 | lic:NOASSERTION | Connect Chatwoot to Botpress
dudanogueira/rocket.connect | ★87 | upd:2026-03-04 | lic:MIT | Rocket Connect - An agnostic connector for Chat Platforms
chatwoot/chatwoot-flutter-sdk | ★83 | upd:2026-07-08 | lic:MIT | Chatwoot Flutter SDK
chatwoot/chatwoot-react-native-widget | ★79 | upd:2025-07-17 | lic:MIT | React Native widget for Chatwoot
