invoiceninja/admin-portal | ★1751 | upd:2026-08-21 | lic:NOASSERTION | Invoice Ninja: Desktop/mobile admin portal built with Flutter
invoiceninja/dockerfiles | ★616 | upd:2026-08-27 | lic:GPL-2.0 | Docker files for Invoice Ninja
invoiceninja/ui | ★90 | upd:2026-08-31 | lic:NOASSERTION | Invoice Ninja: Web admin portal built with React
invoiceninja/sdk-php | ★87 | upd:2026-07-26 | lic:none | PHP wrapper for Invoice Ninja's REST API
DrDBanner/inmanage | ★75 | upd:2026-06-29 | lic:NOASSERTION | Invoice Ninja CLI: Install, configure, update, backup, monitor, and receive notifications for your self-hosted ...
AshkanYarmoradi/go-invoice-ninja | ★48 | upd:2026-01-17 | lic:MIT | Go SDK for Invoice Ninja API - payments, invoices, clients, webhooks with retry & rate limiting
invoiceninja/flutter | ★27 | upd:2026-09-01 | lic:NOASSERTION | Invoice Ninja: Desktop/mobile admin portal built with Flutter
invoiceninja/invoiceninja.github.io | ★19 | upd:2026-08-13 | lic:none | Documentation for Invoice Ninja
invoiceninja/ansible-installer | ★18 | upd:2019-10-13 | lic:MIT | Install Invoice Ninja using ansible
dicarlosystems/pointofsale | ★17 | upd:2020-01-24 | lic:MIT | Point of Sale module for Invoice Ninja
nCrazed/invoice-ninja | ★15 | upd:2014-05-16 | lic:MIT | Invoice PDF generator
fredsimard/invoice_ninja_backup_bash_script | ★15 | upd:2021-06-25 | lic:GPL-3.0 | A bash script to backup self-hosted Invoice Ninja data, including the MySQL database and the Webapp, locally then remotely
turbo124/Plane2Ninja | ★14 | upd:2021-01-05 | lic:MIT | Export data from Invoice Plane to Invoice Ninja
invoiceninja/wordpress | ★14 | upd:2026-05-11 | lic:GPL-2.0 | WordPress plugin for Invoice Ninja
waredev202/invoice-ninja | ★14 | upd:2020-09-13 | lic:NOASSERTION | Invoice Ninja
